Accord Dental Clinic	442, Pasir Ris Drive 6, 01- 26, Singapore 510442	65821368	Operating hours: Monday,Wednesday & Friday : 9.00am to 12.00pm, 2.00pm to 4.00pm, Tuesday & Thursday : 9.00am to 12.00pm, 2.00pm to 4.00pm, 7.00pm to 9.00pm, Saturday : 9.00am to 12.00pm
Accord Medical Clinic	325, Ubi Avenue 1, 01- 701, Singapore 400325	68441528	Operating hours: Monday to Friday : 8:30am to 1:00pm, Saturday & Sunday : 9:00am to 12:30pm, 7:00pm to 10:00pm
Accord Medical Clinic (AMK)	157, Ang Mo Kio Avenue 4, Mayflower Shopping & Food Centre, 01- 578, Singapore 560157	64511528	Operating hours: Monday to Friday: 8:30am to 1:00pm, 2:00pm to 4:30pm, 7:00pm to 10:00pm; Saturday & Sunday: 8:30am to 1:00pm; Public Holiday: Closed
Ace Dental Centre	338, Ang Mo Kio Avenue 1, 01- 1669, Singapore 560338	64541993	Operating hours: Monday to Thursday : 9.00am to 12.00pm, 2.00pm to 4.00pm, 6.00pm to 9.00pm, Saturday & Sunday : 9.00am to 12.00pm, Friday : Closed
Ace Family Dentalcare	56, New Upper Changi Road, 01- 1288, Singapore 461056	64488495	Operating hours: Monday to Friday : 9.00am to 8:30pm, Saturday & Sunday : 9.00am to 12:30pm
Active Global Specialised Caregivers Pte Ltd	51, 51 Goldhill Plaza, #12-11, Singapore 308900	65360086 	Operating hours: 24/7 hotline, office hours Monday-Friday 9am to 6.30pm, Saturday 9am to 5.30 pm
Acumed Medical Group (Bedok)	214, Bedok North Street 1, 01- 165, Singapore 460214	64438077	Operating hours: Monday to Friday: 8:30am to 1:00pm, 2:00pm to 5:00pm, 6:00pm to 9:00pm; Saturday: 8:30am to 1:00pm; Sunday: 9:00am to 12:00pm, 6:00pm to 9:00pm; Public Holiday: 9:00am to 12:00pm
Acumed Medical Group (Boon Lay)	301, Boon Lay Way, Boon Lay Mrt Station, 01- 18/19, Singapore 649846	65159919	Operating hours: Monday to Sunday : 8:00am to 1:00pm, 2:00pm to 5:00pm, 6:00pm to 10:00pm, Saturday : 8:30am to 1:00pm, 2:00pm to 5:00pm, 6:00pm to 9:00pm, Sunday : 9:00am to 12:00pm, 6:00pm to 9:00pm
Acumed Medical Group (Golden Shoe)	50, Market Street, Golden Shoe Car Park Building, 01- 31, Singapore 048940	65327766	Operating hours: Monday to Friday: 8:30am to 1:00pm, 1:30pm to 5:30pm; Saturday: 8:30am to 12:30pm; Sunday and Public Holiday: Closed
Acumed Medical Group (Joo Koon)	1, Joo Koon Circle, Fairprice Hub, 01- 23, Singapore 629117	68615755	Operating hours: Monday to Friday : 8:30am to 6:00pm, Tuesday : 8:30am to 1:00pm
Acumed Medical Group (Jurong Point)	1, Jurong West Central 2, Jurong Point Shopping Centre, B1A- 19E, Singapore 648886	67923822	Operating hours: Monday & Tuesday: 8:30am to 6:00pm, 6:30pm to 9:00pm; Wednesday to Friday: 8:30am to 5:00pm; Saturday: 8:30am to 1:00pm; Sunday & Public Holiday: Closed
Acumed Medical Group (Pioneer)	7, Pioneer Road North, 01- 40, Singapore 628459	62610377	Operating hours: Monday to Friday: 8:30am to 1:00pm, 2:00pm to 5:00pm; Saturday, Sunday & Public Holiday: Closed
Access Medical Bedok South	59, New Upper Changi Road, 01- 1268, Singapore 461059	64453100	Operating hours: Monday to Sunday : 7:00am to 1:00pm, 6:00pm to 12:00mn
Acumed Medical Group (Tuas)	71, Pioneer Road, Tuas Amenity Centre, 01- 06, Singapore 639591	68615996	Operating hours: Monday to Friday: 8:30am to 5:00pm; Saturday: 8:30am to 1:00pm; Sunday &Public; Holiday: Closed
ACCESS MEDICAL (KIM KEAT)	19, LORONG 7 TOA PAYOH, 01- 272, Singapore 310066	67107326	NA
Acumed Medical Group (Yung Kuang)	64, Yung Kuang Road, 01- 107/111, Singapore 610064	62656422	Operating hours: Monday to Friday: 8:30am to 9:00pm; Saturday: 8:30 to 5:00pm; Sunday and Public Holiday: 9:00am to 12:00pm
Adam Road Medical Centre	559, Bukit Timah Road, King's Arcade, #01-02, Singapore 269695	64667777 	Operating hours: 9:00 AM To 6:00 PM (Monday To Friday)  9:00 To 1:00 PM (Saturday)
Acumed Medical Group (Teban Gdns)	38, Teban Gardens Road, 01- 318/319, Singapore 600038	65619366	Operating hours: Monday to Friday : 8:30pm to 5:00pm, 6:00pm to 9:00pm, Saturday : 8:30am to 5:00pm, Sunday : 9:00am to 12:00pm, PH closed
Admiralty Family Clinic Pte Ltd	678A, Woodlands Avenue 6, 01- 14, Singapore 731678	68942717	Operating hours: Monday to Friday : 8:00am to 11:00pm, Saturday & Sunday : 8:30am to 12:30pm
Admiralty Medical Clinic	21, Admiralty Road West, Admiralty West Prison, Singapore 757698	68841865	Operating hours: Monday to Friday: 24-hours; Saturday, Sunday & Public Holiday: 24-hours
Advance Clinic & Surgery Pte Ltd	301, Ubi Avenue 1, 01- 269, Singapore 400301	67421156	Operating hours: Monday to Friday: 8:30am to 5:30pm; Saturday: 8:30am to 1:00pm; Sunday & Public Holiday: Closed
Aa Dental Surgery	240, River Valley Road, Singapore 238297	68362426	Operating hours: Monday to Friday : 9:30am to 6.00pm, Saturday: 10.30am to 1.00pm, Sunday & Public Holiday : Closed
81 Family Clinic	86, Marine Parade Central, 01- 670, Singapore 440086	63466768	Operating hours: Monday to Friday: 9:00am to 3:00pm, 7:00pm to 10:30pm; Saturday: 9:00am to 3:00pm; Sunday & Public Holiday: Closed
Advanced Dental Clinic Bukit Panjang Pte Ltd	258, Bukit Panjang Ring Road, 01- 60, Singapore 670258	67662663	NA
Advanced Dental Clinic Jurong West Pte Ltd	498, Jurong West Street 41, 01- 482, Singapore 640498	65650054	NA
Advanced Dental Clinic Serangoon Pte Ltd	254, Serangoon Central Drive, 01- 213, Singapore 550254	62801011	NA
Advanced Dental Clinic Toa Payoh Pte Ltd	18, Lorong 7 Toa Payoh, 1- 256, Singapore 310018	63975411	NA
Advanced Dental Surgery Tampines Pte Ltd	482, Tampines Street 43, 01- 238, Singapore 520482	67892628	Operating hours: Monday to Friday : 9.00am to 9.00pm, Saturday & Sunday : 9.00am to 5.00pm
Advent Dental Surgery Pte Ltd	530A, Jurong West Ave 1, 01- 907, Singapore 641530	66596778	NA
Adventist Active Centre @ Golden Peony	530A, Jurong West Ave I Golden Peony, #01-907, Singapore 641530	63345322 	Operating hours: 8:30am--6:00pm
Adventist Home For The Elders	195, Kim Keat Avenue, #01-294, Singapore 310195	62581267 / 62599382 	Operating hours: 9:00 AM To 5:00 PM (Monday To Friday) , Closed on Saturday, Sunday, Public Holidays
Adventist Nursing & Rehabilitation Centre	6, Marsiling Drive, #01-96, Singapore 730006	63688401 	NA
AE Medical Clinic	467B, FERNVALE LINK, 01- 529, Singapore 792467	68162900	NA
Aelite Implant & Dental Center Pte Ltd	144, Upper Bukit Timah Road, Beauty World Centre, 1- 05/06, Singapore 588177	64631855	NA
Aesthetic Dental Care	133, Cecil Street, Keck Seng Tower, 04- 01, Singapore 069535	62262296	Operating hours: Monday to Friday : 8:30am to 5:30pm, Saturday : 8:30am to 12:30pm, Sunday & Public Holiday : Closed
Advanced Dental Ang Mo Kio	449, Ang Mo Kio Ave 10, 01- 1719, Singapore 560449	6904 9909	NA
AFPD Medical Clinic	10, Tampines Industrial Ave 3, AFPD Pte., Ltd., Singapore 528798	64249581	Operating hours: Monday to Friday: 8:00am to 11:00am; Saturday, Sunday & Public Holiday: Closed
Agape Clinic	222, Bishan Street 23, B1- 169, Singapore 570222	64548535	Operating hours: Monday & Tuesday: 11:00am to 12:30pm, Wednesday: 11:00am to 12:30pm, 2:00pm to 4:00pm, 7:00pm to 9:00pm; Thursday: 7:00pm to 9:00pm; Friday: 11:00am to 12:30pm; Saturday: 11:00am to 12:30pm; Sunday & Public Holiday: Closed
AICARE FAMILY CLINIC	83, LORONG 2 TOA PAYOH, TOA PAYOH PEAKVIEW, 01- 457, Singapore 310083	62667820	NA
Akc Medical Center Pte Ltd	103, Desker Road, Singapore 209625	66905560	Operating hours: Monday to Friday: 9:00am to 1:00pm, 2:00pm to 6:30 pm; Saturday: 9:00am to 1:00pm, 2:00pm to 5:30pm; Sunday & Public Holiday: Closed
Alda Dental Surgery	48, Tanglin Halt Road, 01- 337, Singapore 142048	64757113	Operating hours: Monday to Thursday : 8:30am to 12:30pm, 2:30 to 5.00pm, 6:30pm to 8:30pm, Friday : 8.30am to 12:30pm, 2:30pm to 5.00pm, Saturday : 8:30am to 12:30pm, Sunday & Public Holiday: Closed
Alexandra Family Clinic & Surgery	57, Dawson Road, 02- 02, Singapore 142057	64797022	Operating hours: Monday, Tuesday, Wednesday & Friday: 8:00am to 3:00pm, 6:00pm to 9:00pm; Thursday: 8:00am to 3:00pm; Saturday & Sunday: 8:00am to 1:00pm; Public Holiday: Closed
18 Clinic	101, Towner Road St, 01- 228, Singapore 322101	62999750	Operating hours: Monday to Thursday 8:30am to 12:00pm, 1:30pm to 4:00pm, 6:30pm to 9:30pm, Friday : 8:30am to 12:00pm, 1:30 to 4:00pm, Saturday : 7:00pm to 10:00pm, Sunday: 9:00am to 1:00pm
Aljunied Dental Surgery	119, Aljunied Avenue 2, 01- 70, Singapore 380119	67485838	Operating hours: Monday, Tuesday,Wednesday & Friday :9.00am to 12.30pm, 2.00pm to 4.30pm, Saturday : 9.00am to 12:30pm, Sunday : 9.00am to 12.00pm
Aljunied Medical Clinic	119, Geylang East Central, 01- 72, Singapore 380119	67482884	Operating hours: Monday to Wednesday & Friday: 8:30am to 11:00pm, 2:00pm to 4:00pm, 6:30pm to 8:30pm; Saturday: 9:00am to 12:00pm; Thursday & Public Holiday: Closed
Adidah Family Clinic & Surgery	821, Tampines Street 81, 01- 210, Singapore 520821	67845435	Operating hours: Monday to Wednesday : 9:00am to 12:30pm, 2:30pm to 6:30pm, Thursday, Saturday & Sunday : 9:00am to 12:30pm, Friday : 2:30pm to 4:30pm, PH closed
All Saints Home - Jurong East	20, Jurong East Avenue 1, Singapore 609792	NA	NA
Alexandra Hospital	378, Alexandra Road, Singapore 159964	64722000 	NA
All Saints Home - Yishun	551, Yishun Ring Road, Singapore 768681	NA	NA
Allcare Nursing Services	358, Yishun Ring Road, #03 -1694, Singapore 760358	90304861 / 63335550 / 63335550 	Operating hours: 8am - 9pm
Allergy, Arthritis & Rheumatism Clinic	6, Napier Road, Gleneagles Medical Centre, 09- 02/03, Singapore 258499	64749438	NA
Allergy, Arthritis & Rheumatism Clinic (Farrer Park)	1, FARRER PARK STATION ROAD, CONNEXION, 14- 13, Singapore 217562	66362945	NA
Acumed Medical Group (Woodlands)	303, Woodlands Street 31, 01- 185, Singapore 730303	63627789	Operating hours: Monday to Friday : 8:30am to 1:00pm, 2:00pm to 5:00pm, 6:00pm to 9:00pm, Saturday : 8:30am to 5:00pm, Sunday : 9:00am to 12:00pm, PH closed
ALLHEALTH FAMILY CLINIC	872C, TAMPINES STREET 86, 01- 01, Singapore 523872	67026467	NA
Allsmiles Dental Care Plus	502, Jurong West Ave 1, 01- 805, Singapore 640502	68996828	NA
All Saints Home - Hougang	5, Poh Huat Road, Singapore 546703	62826969 	Operating hours: Mondays-Fridays,sessions:9-11 am,1-3 pm,2.30-4.30pm,, Saturdays,Sundays and Public Holidays closed
Aloha Dental Clinic	14, Scotts Road, Far East Plaza, 04- 125, Singapore 228213	67332268	Operating hours: Monday to Friday : 9.00am to 6.00pm, Saturday : 9.00am to 1.00pm, Sunday & Public Holiday: Closed
6-10 Clinic & Surgery	253, Serangoon Central Drive, 01- 187, Singapore 550253	62837998	Operating hours: Monday to Thursday & Sunday: 8:00am to 11:30am, 2:00pm to 4:30pm, 6:30pm to 9:30pm; Friday: 8:00am to 11:30am, 2:00pm to 4:30pm; Saturday: 7:00pm to 10:00pm; Public Holiday: Closed
Alpha Dental Group	8, Shenton Way, Temasek Tower, 01- 13/14, Singapore 068811	62248003	Operating hours: Monday to Friday : 8.00am to 7.00pm, Saturday : 8.00am to 3pm, Sunday & Public Holiday : Closed
Alzheimer’s Disease Association - Caregiver Support Centre (Bendeemer)	70, Bendemeer Road, Resource & Training Centre, #06-02 Luzerne, Singapore 339940	6377 0700 / 63770700 / DementiaHelpline	Operating hours: 9:00 AM To 6:00 PM (Monday To Friday)
Alzheimer’s Disease Association - Resource & Training Centre (Bendeemer)	70, Bendemeer Road, Luzerne Building, #06-02, Singapore 339940	62939971 	NA
Alzheimer's Disease Association (Tiong Bahru)	298, Tiong Bahru Road, Central Plaza, #03-01, Singapore 168730	65936440 / 63770700 / Dementia Helpline / 63770700 / DementiaHelpline	Operating hours: 9:00 AM To 6:00 PM (Monday To Friday)
Alpha Clinic & Surgery	80, Marine Parade Road, Parkway Parade, 05- 05, Singapore 449269	63445532	Operating hours: Monday, Wednesday to Friday: 9:00am to 1:00pm, 2:00pm to 5:00pm; Tuesday: 9:00am to 1:00pm; Saturday: 9:00am to 12:00pm; Sunday & Public Holiday: Closed
Amda International Peace Clinic	501, ORCHARD ROAD, WHEELOCK PLACE, 05- 01, Singapore 238880	66941661	NA
Amelio Medical Clinic	290, Orchard Road, Paragon, 06- 21, Singapore 238859	68363367	Operating hours: Monday to Friday: 10:00am to 12:00pm, 1:00pm to 6:00pm; Saturday: 10:00am to 2:00pm; Sunday & Public Holiday: Closed
All Saints Home - Tampines	11, Tampines Street 44, Singapore 529123	67882345 	NA
Amical Dental Surgery	827, Tampines Street 81, 01- 132, Singapore 520827	67866286	Operating hours: Monday,Wednesday,Thursday : 9:30am to 8:30pm, Tuesday & Friday : 9:30am to 5.00pm, Sunday : 9:30am to 2.00pm, Saturday & PH closed
Aesthetic Works Medical Associates	80, Marine Parade Road, Parkway Parade, 05- 06/07, Singapore 449269	64933678	Operating hours: Monday, Wednesday & Friday: 10:30am to 8:30pm; Tuesday & Thursday: 10:30am to 5:00pm; Saturday: 10:00am to 4:00pm; Sunday & Public Holiday: Closed
AMITY MEDICAL CLINIC & DENTAL SURGERY	371, Bukit Batok Street 31, 01- 0314, Singapore 650371	65609292	Operating hours: Monday, Tuesday & Thursday : 9.00am to 12:30pm, 2:30pm to 4:30pm, 6:30pm to 8:30pm, Wednesday & Friday : 9.00am to 12:30pm, 2:30pm to 4:30pm, Saturday : 9.00am to 12:30pm, Sunday & Public Holiday : Closed
Amk Central Dental Surgery	726, Ang Mo Kio Avenue 6, 01- 4162, Singapore 560726	64557930	Operating hours: Monday to Friday : 9.00am to 12.00pm, 2.00pm to 4:30pm, Saturday & Sunday : 9.00am to 12:30pm, PH closed
	NA	NA	NA
Amoy Street Dental	40, Amoy Street, Singapore 069866	62220553	Operating hours: Monday & Wednesday : 9.00am to 8.00pm, Tuesday, Thursdays & Friday : 9.00am to 6.00pm, Saturday : 9.00am to 1.00pm, Sunday & Public Holiday : Closed
Anderson Medical Centre	283, Bishan Street 22, 01- 173, Singapore 570283	64599195	Operating hours: Monday & Thursday: 9:00am to 12:30pm, 2:30pm to 4:00pm, 7:00pm to 9:00pm; Tuesday & Friday: 9:00am to 12:30pm, 2:30pm to 4:30pm; Wednesday & Saturday: 9:00am to 12:30pm; Sunday & Public Holiday: Closed
Ang Dental Surgery	304, Orchard Road, Lucky Plaza, 06- 34/35, Singapore 238863	62359976	Operating hours: Monday,Tuesday,Wednesday & Friday : 9:30am to 5.00pm, Thursday : 2.00pm to 5.00pm, Saturday : 9:30am to 11:30am, Sunday & Public Holiday : Closed
Ang Mo Kio - Thye Hua Kwan Hospital	17, Ang Mo Kio Avenue 9, Singapore 569766	64506150 	Operating hours: Monday to Friday, 8.30am – 6pm, Saturday, 8.30am to 12.30, Closed on Sunday & Public Holidays
Ang Mo Kio Dental Surgery	157, Ang Mo Kio Avenue 4, 01- 560, Singapore 560157	64522884	Operating hours: Monday to Friday : 9:30am to 12:30pm, 2.00pm to 4:30pm, 7.00pm to 9.00pm, Saturday & Sunday : 9:30am to 12:30pm, Public Holiday : Closed
Ang Mo Kio Family Medicine Clinic	4190, Ang Mo Kio Avenue 6, Broadway Plaza, 03- 01, Singapore 569841	65541133	NA
Ang Mo Kio Medical Centre	157, Ang Mo Kio Avenue 4, 01- 558, Singapore 560157	64570273	Operating hours: Tuesday to Thursday : 8:30am to 12:30pm, 2:30pm to 5:30pm, Monday : 8:30am to 12:30pm, 2:30pm to 5:30pm, 7:00pm to 9:00pm, Friday to Sunday : 8:30am to 12:30pm
Anglican Care Centre (Bukit Batok)	267, 267, Bukit Batok East Ave 4, #01-206, Singapore 650267	65624881 	NA
Anglican Care Centre (Pasir Ris)	534, Pasir Ris Drive 1, #01-266, Singapore 510534	65844633 	NA
Anglican Care Centre (Yishun)	707, Yishun Avenue 5, #01-36, Singapore 760707	67535311 	NA
Ann Arbor Dental Surgery Pte Ltd	5, Tampines Street 32, Tampines Mart, 02- 06, Singapore 529284	67887827	Operating hours: Monday,Tuesday,Wednesday & Friday : 9.00am to 5.00pm, Thursdays : Closed, Saturday & Sunday : 9.00am to 5.00pm
Ansar Clinic	138, Tampines Street 11, 01- 126, Singapore 521138	67816694	Operating hours: Monday to Wednesday: 8:30am to 12:30pm, 2:30pm to 5:00pm; Thursday: Closed; Friday: 8:30am to 11:30am, 2:30pm to 5:00pm; Saturday & Sunday: 8:30am to 12:30pm; Public Holiday: Closed
Ansari Family Clinic And Surgery	78, Lorong  25A Geylang Road, Singapore 388259	67430714	Operating hours: Monday to Friday: 8:00am to 7:00pm; Saturday: 8:00am to 1:00pm; Sunday & Public Holiday: Closed
Alliance Clinic & Partners	652, Jalan Tenaga, 01- 50, Singapore 410652	68469585	Operating hours: Monday to Thursday: 8:30am to 12:30pm, 2:00pm to 4:30pm, 7:00pm to 9:00pm; Friday: 8:30am to 12:30pm, 2:00pm to 4:30pm; Saturday & Sunday: 8:30am to 12:30pm; Public Holiday: 9:00am to 12:00pm
Apex Clinic & Surgery	844, Yishun Street 81, 01- 162, Singapore 760844	67535621	Operating hours: Monday to Friday: 8:30am to 12:30pm, 2:00pm to 4:30pm, 7:00pm to 9:00pm; Saturday: 8:30am to 12:30pm; Sunday: 7:00pm to 9:00pm; Public Holiday: Closed
Anteh Dispensary Family Clinic & Surgery	1, Lorong 22 Geylang, 01- 02, Singapore 398664	67441809	Operating hours: Monday to Friday: 9:00 to 12:00pm, 2:00pm to 5:00pm, 7.00pm to 11.00pm; Saturday: 9:00am to 12:00pm, 7.00pm to 11.00pm; Sunday & Public Holiday: 7pm to 11pm
Apex Day Rehabilitation Centre for the Elderly	119, Bukit Merah View, #01-85, Singapore 152119	62734510 	NA
Apex Dental Surgery	632, Ang Mo Kio Avenue 4, 01- 956, Singapore 560632	64548091	Operating hours: Monday to Friday : 8:30am to 4:30pm, Saturday & Sunday : 8:30am to 12.00pm
AMK Family Clinic Pte Ltd	51, Ang Mo Kio Avenue 3, No 51 @ Amk, 01- 01, Singapore 569922	64544204	Operating hours: Monday to Wednesday: 8:30am to 3:00pm, 6:00pm to 10:00pm; Thursday to Friday: 8:30am to 3:00pm; 7:00pm to 10:00pm; Saturday: 9:00am to 12:00pm; Sunday: 2:00pm to 7:00pm
Apex Clinic & Surgery	306, Woodlands Street 31, 01- 39, Singapore 730306	63677710	Operating hours: Monday, Tuesday, Wednesday and Friday: 8:30am to 12:30pm, 2:00pm to 4:00pm, 6:30pm to 8:30pm; Thursday: 8:30am to 12:30pm, 2:00pm to 4:00pm; Saturday: 8:30am to 12:00pm; Sunday: 9:00am to 12:00pm; Public Holiday: Varies
Amaris B	140, Arab Street, Singapore 199827	65364211	Operating hours: Monday to Friday: 9:30am to 7:00pm; Saturday: 9:30am to 1:30pm; Sunday & Public Holiday: Closed
Apex Harmony Lodge	10, Pasir Ris Walk, Singapore 518240	65852265 	NA
AR-Raudhah Medical Clinic	372, Bukit Batok Street 31, 01- 386, Singapore 650372	65677458	Operating hours: Monday to Friday: 8:30am to 12:30pm, 2:00pm to 4:00pm, 6:00pm to 9:00pm; Saturday & Sunday: 8:30am to 12:30pm, 6:00pm to 9:00pm; Public Holiday: 8:30am to 12:30pm
Allsmiles Dental Care Pte Ltd	502, Jurong West Avenue 1, 01- 817, Singapore 640502	65692988	Operating hours: Monday to Friday : 9.00am to 9.00pm, Saturday : 9.00am to 5.00pm, Sunday : 9.00am to 1.00pm
Ascension Dental Clinic	235, Jurong East Street 21, 01- 318, Singapore 600235	65657377	Operating hours: Monday,Tuesday & Thursday : 9.00am to 12.00pm, 2.00pm to 5.00pm, 6.00pm to 8:30pm, Wednesday & Friday : 9.00am to 12.00pm, 2.00pm to 5.00pm, Saturday : 9.00am to 3.00pm, Sunday & Public Holiday : Closed
Advanced Dental Clinic Bedok Pte Ltd	56, NEW UPPER CHANGI ROAD, 01- 1294, Singapore 461056	64490246	Operating hours: Monday to Friday : 9.00am to 9.00pm, Saturday & Sunday : 9.00am to 5.00pm
	NA	NA	NA
Arcadia Clinic	2, Pandan Valley, 01- 211, Singapore 597626	64695122	Operating hours: Monday to Friday: 9:00am to 12:30pm, 2:00pm to 4:30pm, 6:30pm to 8:30pm; Saturday: 9:00am to 12:30pm; Sunday: 9:30am to 12:30pm; Public Holiday: Closed
	NA	NA	NA
	NA	NA	NA
Apollo Medical Centre	668, Chander Road, 01- 24, Singapore 210668	62962777	Operating hours: Monday to Sunday : 8:30am to 12:45pm, 2:00pm to 4:45pm
Aspen Clinic	283, Bishan Street 22, 01- 185, Singapore 570283	64553829	Operating hours: Monday, Wednesday & Thursday : 9:00am to 12:30pm, 2:00pm to 4:30pm, 7:00pm to 9:00pm, Tuesday : 9:00am to 12:30pm, 2:00pm to 4:30pm, Friday & Saturday : 9:00am to 12:30pm, Sunday & PH closed
Aspiration Wan Qing Lodge	Blk 236, Jurong East Street 21, #01-346, Singapore 600236	6569 2131 	NA
